country,year,co2,co2_per_capita,co2_5yr_rolling_mean,co2_lag1,co2_lag2,co2_lag3,co2_yoy_pct_change,ghg_intensity
United Kingdom,2018,379.7297668457031,5.688624382019043,405.55897827148436,387.36712646484375,399.4301452636719,422.4607849121094,-1.9716075777622244,1.8401064014134335e-10
United Kingdom,2019,364.7532653808594,5.435077667236328,390.7482177734375,379.7297668457031,387.36712646484375,399.4301452636719,-3.9439893241051127,1.729968927889312e-10
United Kingdom,2020,326.2632141113281,4.844160079956055,371.5087036132812,364.7532653808594,379.7297668457031,387.36712646484375,-10.552352760801643,1.7636324507859077e-10
United Kingdom,2021,342.3655700683594,5.059431076049805,360.0957885742188,326.2632141113281,364.7532653808594,379.7297668457031,4.935388134666252,1.6948083138306162e-10
United Kingdom,2022,311.1180114746094,4.563231945037842,344.84596557617186,342.3655700683594,326.2632141113281,364.7532653808594,-9.126957067415065,1.4994158859399968e-10
United Kingdom,2023,307.8261413574219,4.481841087341309,330.4652404785156,311.1180114746094,342.3655700683594,326.2632141113281,-1.0580776412091986,
United Kingdom,2024,312.9055480957031,4.52579927444458,320.0956970214844,307.8261413574219,311.1180114746094,342.3655700683594,1.6500894679972733,
United States,1800,0.2528159916400909,0.0421359986066818,,,,,,
United States,1801,0.2674719989299774,0.0437490232288837,,0.2528159916400909,,,5.79710452444433,
United States,1802,0.2894560098648071,0.0464637018740177,,0.2674719989299774,0.2528159916400909,,8.219182203287367,
United States,1803,0.2967840135097503,0.0467533804476261,,0.2894560098648071,0.2674719989299774,0.2528159916400909,2.5316467425795963,
United States,1804,0.3334240019321441,0.0515478625893592,0.28799040317535396,0.2967840135097503,0.2894560098648071,0.2674719989299774,12.345674549343633,
United States,1805,0.3407520055770874,0.0517003498971462,0.30557760596275324,0.3334240019321441,0.2967840135097503,0.2894560098648071,2.1978032782518753,
United States,1806,0.3334240019321441,0.0496470220386981,0.3187680065631866,0.3407520055770874,0.3334240019321441,0.2967840135097503,-2.1505386688870143,
United States,1807,0.3773919939994812,0.05514807254076,0.3363552033901215,0.3334240019321441,0.3407520055770874,0.3334240019321441,13.186810731245767,
United States,1808,0.3920480012893677,0.0562235340476036,0.3554080009460449,0.3773919939994812,0.3334240019321441,0.3407520055770874,3.8834971390269146,
United States,1809,0.4030399918556213,0.0567241907119751,0.36933119893074035,0.3920480012893677,0.3773919939994812,0.3334240019321441,2.8037359022627717,
United States,1810,0.4176959991455078,0.057195845991373,0.38471999764442444,0.4030399918556213,0.3920480012893677,0.3773919939994812,3.636365518570339,
United States,1811,0.4470080137252807,0.0595797300338745,0.40743680000305177,0.4176959991455078,0.4030399918556213,0.3920480012893677,7.017547364527621,
United States,1812,0.4836480021476745,0.062583602964878,0.42868800163269044,0.4470080137252807,0.4176959991455078,0.4030399918556213,8.196718469774854,
United States,1813,0.5202879905700684,0.0651978924870491,0.4543359994888306,0.4836480021476745,0.4470080137252807,0.4176959991455078,7.5757551483085495,
United States,1814,0.560591995716095,0.0680291801691055,0.4858464002609253,0.5202879905700684,0.4836480021476745,0.4470080137252807,7.746480002712808,
United States,1815,0.6008960008621216,0.0706165060400962,0.522486400604248,0.560591995716095,0.5202879905700684,0.4836480021476745,7.189543456563752,
United States,1816,0.6631839871406555,0.0754743814468383,0.565721595287323,0.6008960008621216,0.560591995716095,0.5202879905700684,10.365851360163436,
United States,1817,0.7181439995765686,0.0791472047567367,0.6126207947731018,0.6631839871406555,0.6008960008621216,0.560591995716095,8.287294853555704,
United States,1818,0.7804319858551025,0.0832947716116905,0.6646495938301087,0.7181439995765686,0.6631839871406555,0.6008960008621216,8.673467482184648,
United States,1819,0.762112021446228,0.0788341984152793,0.7049535989761353,0.7804319858551025,0.7181439995765686,0.6631839871406555,-2.347413322482128,
United States,1820,0.7914239764213562,0.0794074162840843,0.7430591940879822,0.762112021446228,0.7804319858551025,0.7181439995765686,3.8461478300137797,
United States,1821,0.8280640244483948,0.0806499496102333,0.77603520154953,0.7914239764213562,0.762112021446228,0.7804319858551025,4.629635835992318,
United States,1822,0.8647040128707886,0.0818123295903205,0.805347204208374,0.8280640244483948,0.7914239764213562,0.762112021446228,4.424777232267885,
United States,1823,0.9013440012931824,0.0829024463891983,0.82952960729599,0.8647040128707886,0.8280640244483948,0.7914239764213562,4.237286733613077,
United States,1824,1.0149279832839966,0.0907480865716934,0.8800927996635437,0.9013440012931824,0.8647040128707886,0.8280640244483948,12.601624000143374,
United States,1825,1.1358399391174316,0.098729021847248,0.9489759922027587,1.0149279832839966,0.9013440012931824,0.8647040128707886,11.913353245242186,
United States,1826,1.315376043319702,0.111148364841938,1.0464383959770203,1.1358399391174316,1.0149279832839966,0.9013440012931824,15.806461634178248,
United States,1827,1.4472800493240356,0.1188861280679702,1.1629536032676697,1.315376043319702,1.1358399391174316,1.0149279832839966,10.027855279425557,
United States,1828,1.5938400030136108,0.1272766590118408,1.3014528036117554,1.4472800493240356,1.315376043319702,1.1358399391174316,10.12657873353724,
United States,1829,1.7953599691390991,0.139394149184227,1.4575392007827759,1.5938400030136108,1.4472800493240356,1.315376043319702,12.64367601167351,
United States,1830,2.088479995727539,0.1576790511608123,1.6480672121047975,1.7953599691390991,1.5938400030136108,1.4472800493240356,16.326532373838944,
United States,1831,2.2643520832061768,0.1662640124559402,1.8378624200820923,2.088479995727539,1.7953599691390991,1.5938400030136108,8.421056837433149,
United States,1832,3.0227999687194824,0.2158901095390319,2.1529664039611816,2.2643520832061768,2.088479995727539,1.7953599691390991,33.495139344204475,
United States,1833,3.5284318923950195,0.2451494038105011,2.5398847818374635,3.0227999687194824,2.2643520832061768,2.088479995727539,16.72727037541066,
United States,1834,3.3818719387054443,0.2285767495632171,2.8571871757507323,3.5284318923950195,3.0227999687194824,2.2643520832061768,-4.153685210857039,
United States,1835,4.316192150115967,0.2837928235530853,3.302729606628418,3.3818719387054443,3.5284318923950195,3.0227999687194824,27.627309027206202,
United States,1836,4.730224132537842,0.3025576472282409,3.795904016494751,4.316192150115967,3.3818719387054443,3.5284318923950195,9.592528970489678,
United States,1837,5.305471897125244,0.3301233351230621,4.252438402175903,4.730224132537842,4.316192150115967,3.3818719387054443,12.161110096886096,
United States,1838,5.030672073364258,0.304511696100235,4.552886438369751,5.305471897125244,4.730224132537842,4.316192150115967,-5.179554789648133,
United States,1839,5.517983913421631,0.3247494101524353,4.980108833312988,5.030672073364258,5.305471897125244,4.730224132537842,9.68681386802228,
United States,1840,5.873392105102539,0.3359056115150451,5.291548824310302,5.517983913421631,5.030672073364258,5.305471897125244,6.440906629256982,
United States,1841,6.214143753051758,0.3451807796955108,5.588332748413086,5.873392105102539,5.517983913421631,5.030672073364258,5.801615861014775,
United States,1842,6.917632102966309,0.3730293214321136,5.9107647895812985,6.214143753051758,5.873392105102539,5.517983913421631,11.320760797802087,
United States,1843,7.764016151428223,0.4062394797801971,6.457433605194092,6.917632102966309,6.214143753051758,5.873392105102539,12.23517000996599,
United States,1844,9.306559562683104,0.4724926352500915,7.2151487350463865,7.764016151428223,6.917632102966309,6.214143753051758,19.867854228653602,
United States,1845,11.204511642456056,0.5519617795944214,8.28137264251709,9.306559562683104,7.764016151428223,6.917632102966309,20.39370260287432,
United States,1846,12.710415840148926,0.6075555086135864,9.580627059936523,11.204511642456056,9.306559562683104,7.764016151428223,13.440159158625953,
United States,1847,15.070032119750977,0.6989572048187256,11.211107063293458,12.710415840148926,11.204511642456056,9.306559562683104,18.56443022224836,
United States,1848,16.7847843170166,0.7553744912147522,13.015260696411133,15.070032119750977,12.710415840148926,11.204511642456056,11.378557017262425,
United States,1849,18.221071243286133,0.7956843376159668,14.798163032531738,16.7847843170166,15.070032119750977,12.710415840148926,8.5570770475341,
United States,1850,19.79292869567871,0.8387009501457214,16.51584644317627,18.221071243286133,16.7847843170166,15.070032119750977,8.626591880385504,9.038457249642753e-09
United States,1851,24.633071899414062,1.0133029222488403,18.900377655029295,19.79292869567871,18.221071243286133,16.7847843170166,24.453901078277894,9.026997007190232e-09
United States,1852,26.791168212890625,1.0699052810668943,21.244604873657227,24.633071899414062,19.79292869567871,18.221071243286133,8.760971113504912,8.563933353950357e-09
United States,1853,30.16204833984375,1.1693824529647827,23.920057678222655,26.791168212890625,24.633071899414062,19.79292869567871,12.582057266660062,8.122945999892918e-09
United States,1854,33.15919876098633,1.248078465461731,26.907683181762696,30.16204833984375,26.791168212890625,24.633071899414062,9.93682652906358,8.124510884417125e-09
United States,1855,38.16056060791016,1.3944239616394043,30.581209564208983,33.15919876098633,30.16204833984375,26.791168212890625,15.082879061626242,8.230028561697313e-09
United States,1856,40.036529541015625,1.4202958345413208,33.6619010925293,38.16056060791016,33.15919876098633,30.16204833984375,4.915988924744985,7.978984687942483e-09
United States,1857,41.055118560791016,1.413943648338318,36.51469116210937,40.036529541015625,38.16056060791016,33.15919876098633,2.54414913443457,8.118437333119267e-09
United States,1858,41.64868927001953,1.392542839050293,38.81201934814453,41.055118560791016,40.036529541015625,38.16056060791016,1.4457897822158339,8.085893588203774e-09
United States,1859,45.32001495361328,1.4731518030166626,41.24418258666992,41.64868927001953,41.055118560791016,40.036529541015625,8.81498493215853,7.940562543615236e-09
United States,1860,47.43780899047852,1.5011374950408936,43.099632263183594,45.32001495361328,41.64868927001953,41.055118560791016,4.6729773567658395,7.037983075515998e-09
United States,1861,45.6790885925293,1.4090402126312256,44.22814407348633,47.43780899047852,45.32001495361328,41.64868927001953,-3.7074233304118853,6.5030269287103595e-09
United States,1862,47.44879913330078,1.428561806678772,45.50688018798828,45.6790885925293,47.43780899047852,45.32001495361328,3.8742247170424404,6.136349997083431e-09
United States,1863,54.80977630615234,1.6126716136932373,48.13909759521484,47.44879913330078,45.6790885925293,47.43780899047852,15.51351626870876,5.684916416556498e-09
United States,1864,58.65697479248047,1.6866376399993896,50.80648956298828,54.80977630615234,47.44879913330078,45.6790885925293,7.019182973560656,5.275064545342396e-09
United States,1865,58.82185745239258,1.6529324054718018,53.083299255371095,58.65697479248047,54.80977630615234,47.44879913330078,0.2810964262910609,5.287130806640305e-09
United States,1866,59.23222351074219,1.6266300678253174,55.79392623901367,58.82185745239258,58.65697479248047,54.80977630615234,0.6976421284923484,5.145516538186532e-09
United States,1867,72.865966796875,1.955554485321045,60.877359771728514,59.23222351074219,58.82185745239258,58.65697479248047,23.01744300323325,4.985094731138769e-09
United States,1868,82.35206604003906,2.159902572631836,66.38581771850586,72.865966796875,59.23222351074219,58.82185745239258,13.018559500634929,4.80338112488158e-09
United States,1869,93.69580841064452,2.401963949203491,73.39358444213867,82.35206604003906,72.865966796875,59.23222351074219,13.7746906860724,4.540105701677242e-09
United States,1870,98.62022399902344,2.471550226211548,81.35325775146484,93.69580841064452,82.35206604003906,72.865966796875,5.255748012543404,5.840900055226832e-09
United States,1871,103.02069091796876,2.524374961853028,90.11095123291015,98.62022399902344,93.69580841064452,82.35206604003906,4.462032979147268,6.147323441182119e-09
United States,1872,126.30540466308594,3.026527404785156,100.79883880615235,103.02069091796876,98.62022399902344,93.69580841064452,22.601977852835265,6.32815605146619e-09
United States,1873,139.50680541992188,3.269467830657959,112.2297866821289,126.30540466308594,103.02069091796876,98.62022399902344,10.451968221035424,6.4099368888261016e-09
United States,1874,134.2965850830078,3.078263759613037,120.34994201660156,139.50680541992188,126.30540466308594,103.02069091796876,-3.7347427756166174,6.684252143625544e-09
United States,1875,135.74752807617188,3.043210506439209,127.77540283203125,134.2965850830078,139.50680541992188,126.30540466308594,1.080402001485914,6.534705212278782e-09
United States,1876,132.82000732421875,2.9122109413146973,133.73526611328126,135.74752807617188,134.2965850830078,139.50680541992188,-2.1565923103295193,6.617508386885859e-09
United States,1877,147.17555236816406,3.1561264991760254,137.90929565429687,132.82000732421875,135.74752807617188,134.2965850830078,10.808270028854071,6.6833372449318596e-09
United States,1878,143.90359497070312,3.0182125568389893,138.7886535644531,147.17555236816406,132.82000732421875,135.74752807617188,-2.2231663783914613,6.596387241231003e-09
United States,1879,175.46896362304688,3.599426746368408,147.02312927246095,143.90359497070312,147.17555236816406,132.82000732421875,21.93507998099009,6.175943792580122e-09
United States,1880,198.85638427734372,3.989541530609131,159.6449005126953,175.46896362304688,143.90359497070312,147.17555236816406,13.328522703615619,5.2900144351058365e-09
United States,1881,210.4005126953125,4.128348350524902,175.16100158691407,198.85638427734372,175.46896362304688,143.90359497070312,5.805259137100793,4.927712047830071e-09
United States,1882,235.66384887695312,4.522351264953613,192.85866088867186,210.4005126953125,198.85638427734372,175.46896362304688,12.00725980084718,4.747589046702609e-09
United States,1883,254.2305450439453,4.771299362182617,214.9240509033203,235.66384887695312,210.4005126953125,198.85638427734372,7.878465982572647,4.755140109915279e-09
United States,1884,267.9217529296875,4.917616367340088,233.41460876464845,254.2305450439453,235.66384887695312,210.4005126953125,5.385351269799465,4.683950465424001e-09
United States,1885,272.50689697265625,4.891724586486816,248.14471130371095,267.9217529296875,254.2305450439453,235.66384887695312,1.7113743071739629,4.617442239132253e-09
United States,1886,287.8368835449219,5.053226947784424,263.6319854736328,272.50689697265625,267.9217529296875,254.2305450439453,5.625540763397208,4.531607878990024e-09
United States,1887,307.9366455078125,5.2871503829956055,278.0865447998047,287.8368835449219,272.50689697265625,267.9217529296875,6.983039044665618,4.456654500858783e-09
United States,1888,374.4151916503906,6.287120819091797,302.12347412109375,307.9366455078125,287.8368835449219,272.50689697265625,21.588384205767277,4.636550812019633e-09
United States,1889,336.1236877441406,5.524433612823486,315.76386108398435,374.4151916503906,307.9366455078125,287.8368835449219,-10.227016627574404,4.2131690151324375e-09
United States,1890,402.4116516113281,6.478781223297119,341.74481201171875,336.1236877441406,374.4151916503906,307.9366455078125,19.721300903269356,4.515994966381369e-09
United States,1891,428.10748291015625,6.756878852844238,369.79893188476564,402.4116516113281,336.1236877441406,374.4151916503906,6.385459068080523,4.458096991801273e-09
United States,1892,451.1766052246094,6.986188411712647,398.446923828125,428.10748291015625,402.4116516113281,336.1236877441406,5.388628612056867,4.106939883829823e-09
