country,year,scenario,co2_projected
Australia,2033,Aggressive Mitigation,206.77579607733983
Australia,2034,BAU,375.73846184156355
Australia,2034,Moderate Mitigation,300.5907694732509
Australia,2034,Aggressive Mitigation,187.86923092078177
Australia,2035,BAU,375.56443702050194
Australia,2035,Moderate Mitigation,292.9402608759915
Australia,2035,Aggressive Mitigation,169.00399665922586
Australia,2036,BAU,375.42521716365263
Australia,2036,Moderate Mitigation,285.323165044376
Australia,2036,Aggressive Mitigation,150.17008686546103
Australia,2037,BAU,375.3138412781732
Australia,2037,Moderate Mitigation,277.7322425458482
Australia,2037,Aggressive Mitigation,131.35984444736062
Australia,2038,BAU,375.2247405697896
Australia,2038,Moderate Mitigation,270.1618132102485
Australia,2038,Aggressive Mitigation,112.56742217093687
Australia,2039,BAU,375.1534600030828
Australia,2039,Moderate Mitigation,262.60742200215793
Australia,2039,Aggressive Mitigation,93.7883650007707
Australia,2040,BAU,375.09643554971734
Australia,2040,Moderate Mitigation,255.06557617380776
Australia,2040,Aggressive Mitigation,75.01928710994345
